iter	MultiClass
0	1.094121721
1	1.08999465
2	1.086076694
3	1.082557026
4	1.079183589
5	1.07588951
6	1.072881701
7	1.0699523
8	1.0673221
9	1.064866302
10	1.062443171
11	1.060212408
12	1.058049948
13	1.05596336
14	1.05406138
15	1.0523554
16	1.050709214
17	1.049063077
18	1.047556792
19	1.046047465
20	1.044646265
21	1.043257752
22	1.042071511
23	1.040846942
24	1.039650388
25	1.038579641
26	1.037514335
27	1.036470894
28	1.035495839
29	1.034562161
30	1.03370517
31	1.032853498
32	1.03200352
33	1.031289447
34	1.030542107
35	1.029863249
36	1.029215527
37	1.028537213
38	1.027906789
39	1.027278759
40	1.026688486
41	1.026143936
42	1.025650762
43	1.025118165
44	1.024620227
45	1.024191133
46	1.023780075
47	1.023323613
48	1.022950693
49	1.022541944
50	1.02213259
51	1.021748517
52	1.021365428
53	1.020985897
54	1.020641534
55	1.020344962
56	1.020009827
57	1.019705519
58	1.019438046
59	1.019181234
60	1.018895757
61	1.018643737
62	1.018372785
63	1.018111537
64	1.017877346
65	1.017639743
66	1.017418246
67	1.017196837
68	1.016958648
69	1.01673605
70	1.016524956
71	1.016329221
72	1.016123404
73	1.015941666
74	1.015772157
75	1.015598956
76	1.015415628
77	1.015254494
78	1.01509646
79	1.014922377
80	1.014765416
81	1.014605242
82	1.014450138
83	1.014313348
84	1.014188857
85	1.014060223
86	1.013945057
87	1.01382716
88	1.013688161
89	1.01357201
90	1.013456988
91	1.013323699
92	1.013191322
93	1.013072233
94	1.012965635
95	1.012864035
96	1.012719835
97	1.012634326
98	1.012487342
99	1.012397054
100	1.012300176
101	1.012205201
102	1.012098696
103	1.012021253
104	1.011939108
105	1.011849505
106	1.0117664
107	1.01167535
108	1.011594662
109	1.011492711
110	1.011397614
111	1.011315122
112	1.011238388
113	1.011163377
114	1.0110843
115	1.011015516
116	1.01095295
117	1.010893807
118	1.010844033
119	1.010770898
120	1.010695449
121	1.010635141
122	1.010547326
123	1.010490068
124	1.01041875
125	1.010356719
126	1.010310154
127	1.010236707
128	1.01014961
129	1.010088377
130	1.010026696
131	1.00993696
132	1.009871497
133	1.00979882
134	1.009743174
135	1.009683264
136	1.009629219
137	1.009577303
138	1.009500576
139	1.009442603
140	1.00939103
141	1.009340458
142	1.009278682
143	1.009221484
144	1.009163698
145	1.009094106
146	1.009031292
147	1.008970333
148	1.008919299
149	1.008869888
150	1.008827848
151	1.008778936
152	1.008718149
153	1.008659738
154	1.008611215
155	1.008557766
156	1.008501822
157	1.008469291
158	1.008409066
159	1.008360244
160	1.008315057
161	1.008262037
162	1.008217792
163	1.008165341
164	1.00812085
165	1.008081397
166	1.008033209
167	1.008000994
168	1.007964811
169	1.007929323
170	1.007898505
171	1.007869541
172	1.007813396
173	1.007765738
174	1.007731325
175	1.007692432
176	1.007655793
177	1.007607491
178	1.007567646
179	1.007529755
180	1.007486993
181	1.007434923
182	1.00739793
183	1.00735181
184	1.007312349
185	1.007271757
186	1.007243107
187	1.007206675
188	1.007165706
189	1.007126553
190	1.007085727
191	1.007061887
192	1.007016254
193	1.006982374
194	1.006950036
195	1.006915762
196	1.006872184
197	1.006844263
198	1.006809399
199	1.006775383
200	1.006741035
201	1.006707989
202	1.006670668
203	1.006638419
204	1.006611107
205	1.006580171
206	1.006553552
207	1.006523217
208	1.006486264
209	1.006458668
210	1.006415308
211	1.006381074
212	1.006331568
213	1.006303537
214	1.006283989
215	1.006253934
216	1.006224751
217	1.006202837
218	1.006167855
219	1.006139305
220	1.006115459
221	1.006077732
222	1.00604766
223	1.006022154
224	1.005998136
225	1.005962928
226	1.005941014
227	1.0059096
228	1.005880605
229	1.005850345
230	1.005830231
231	1.005808145
232	1.005769055
233	1.005744672
234	1.005711639
235	1.005678225
236	1.005654501
237	1.005626214
238	1.005604604
239	1.005568318
240	1.005549173
241	1.005526107
242	1.005502113
243	1.005476578
244	1.005444715
245	1.005426097
246	1.005398243
247	1.005363982
248	1.005344318
249	1.005311574
250	1.005289254
251	1.005266793
252	1.005237946
253	1.005211296
254	1.005182212
255	1.005163728
256	1.005134069
257	1.005104329
258	1.005079142
259	1.005057238
260	1.005033646
261	1.005014661
262	1.004994281
263	1.004966903
264	1.004939866
265	1.004921704
266	1.004888581
267	1.004859036
268	1.004837021
269	1.004815603
270	1.004787629
271	1.004772108
272	1.004751259
273	1.004711701
274	1.004688857
275	1.00466339
276	1.004636863
277	1.004618171
278	1.004581024
279	1.004552627
280	1.004533631
281	1.004516679
282	1.004489957
283	1.00446584
284	1.004434655
285	1.004407234
286	1.004379534
287	1.004354232
288	1.004337348
289	1.004320912
290	1.004299808
291	1.004280651
292	1.004243929
293	1.004212904
294	1.004174607
295	1.004150426
296	1.004134973
297	1.004116468
298	1.004092042
299	1.004068093
