iter	Passed	Remaining
0	92	27751
1	197	29401
2	298	29574
3	427	31610
4	520	30708
5	618	30282
6	721	30201
7	811	29634
8	907	29327
9	1021	29625
10	1116	29330
11	1220	29303
12	1319	29120
13	1423	29070
14	1524	28965
15	1626	28870
16	1730	28800
17	1820	28527
18	1916	28344
19	2024	28342
20	2118	28150
21	2213	27966
22	2312	27846
23	2403	27635
24	2487	27364
25	2584	27238
26	2693	27235
27	2782	27026
28	2872	26846
29	2988	26899
30	3100	26907
31	3183	26657
32	3277	26520
33	3381	26451
34	3478	26339
35	3578	26241
36	3674	26119
37	3769	25990
38	3850	25766
39	3939	25608
40	4029	25454
41	4141	25443
42	4246	25379
43	4325	25165
44	4426	25083
45	4531	25019
46	4624	24891
47	4733	24851
48	4842	24804
49	4927	24637
50	5026	24542
51	5122	24429
52	5211	24287
53	5307	24180
54	5386	23993
55	5480	23880
56	5582	23800
57	5677	23687
58	5773	23581
59	5882	23529
60	5967	23379
61	6061	23268
62	6154	23150
63	6253	23060
64	6350	22959
65	6446	22854
66	6538	22739
67	6636	22642
68	6728	22525
69	6842	22483
70	6946	22404
71	7036	22281
72	7104	22091
73	7192	21966
74	7277	21832
75	7358	21688
76	7461	21607
77	7554	21502
78	7642	21380
79	7746	21302
80	7858	21247
81	7969	21187
82	8054	21058
83	8149	20955
84	8239	20840
85	8339	20750
86	8438	20660
87	8528	20545
88	8607	20407
89	8688	20273
90	8769	20139
91	8856	20022
92	8934	19887
93	9035	19800
94	9125	19692
95	9211	19574
96	9295	19452
97	9381	19336
98	9472	19231
99	9546	19092
100	9628	18971
101	9717	18864
102	9790	18724
103	9883	18626
104	9969	18513
105	10065	18422
106	10142	18293
107	10236	18198
108	10317	18079
109	10411	17983
110	10502	17883
111	10571	17745
112	10663	17646
113	10757	17551
114	10838	17435
115	10915	17313
116	10997	17201
117	11075	17082
118	11152	16963
119	11259	16889
120	11353	16795
121	11427	16672
122	11521	16579
123	11603	16468
124	11688	16364
125	11761	16242
126	11826	16109
127	11913	16008
128	11999	15906
129	12086	15804
130	12168	15698
131	12250	15591
132	12333	15486
133	12414	15378
134	12500	15277
135	12572	15161
136	12645	15045
137	12744	14961
138	12836	14868
139	12907	14751
140	12984	14642
141	13071	14543
142	13155	14442
143	13237	14340
144	13319	14237
145	13397	14132
146	13492	14043
147	13577	13944
148	13674	13857
149	13743	13743
150	13813	13630
151	13887	13522
152	13979	13431
153	14090	13358
154	14170	13256
155	14250	13153
156	14326	13049
157	14404	12945
158	14494	12853
159	14572	12751
160	14644	12643
161	14740	12556
162	14810	12448
163	14885	12343
164	14969	12247
165	15050	12149
166	15150	12065
167	15235	11971
168	15310	11867
169	15401	11777
170	15483	11680
171	15554	11575
172	15648	11487
173	15740	11398
174	15829	11306
175	15907	11207
176	15997	11116
177	16095	11031
178	16173	10932
179	16261	10841
180	16342	10744
181	16420	10646
182	16511	10556
183	16609	10471
184	16707	10385
185	16800	10297
186	16875	10197
187	16943	10093
188	17033	10003
189	17111	9906
190	17198	9814
191	17279	9719
192	17375	9632
193	17446	9532
194	17524	9436
195	17614	9346
196	17702	9255
197	17781	9160
198	17863	9066
199	17962	8981
200	18047	8889
201	18144	8802
202	18228	8710
203	18317	8619
204	18397	8525
205	18480	8432
206	18575	8345
207	18679	8261
208	18773	8173
209	18849	8078
210	18950	7993
211	19059	7911
212	19165	7828
213	19244	7733
214	19324	7639
215	19418	7551
216	19511	7462
217	19600	7372
218	19687	7281
219	19754	7183
220	19817	7084
221	19907	6994
222	20013	6910
223	20090	6816
224	20159	6719
225	20232	6624
226	20309	6531
227	20398	6441
228	20477	6348
229	20582	6264
230	20651	6168
231	20749	6081
232	20833	5990
233	20918	5900
234	21015	5812
235	21099	5721
236	21181	5630
237	21283	5544
238	21398	5461
239	21489	5372
240	21568	5280
241	21650	5188
242	21728	5096
243	21798	5003
244	21898	4916
245	21967	4822
246	22068	4735
247	22154	4645
248	22241	4555
249	22334	4466
250	22411	4375
251	22498	4285
252	22592	4197
253	22678	4107
254	22775	4019
255	22849	3927
256	22929	3836
257	23015	3746
258	23093	3655
259	23184	3566
260	23259	3475
261	23339	3385
262	23409	3293
263	23480	3201
264	23553	3110
265	23628	3020
266	23712	2930
267	23805	2842
268	23887	2752
269	23969	2663
270	24071	2575
271	24149	2485
272	24245	2397
273	24338	2309
274	24421	2220
275	24527	2132
276	24611	2043
277	24699	1954
278	24820	1868
279	24900	1778
280	24981	1689
281	25062	1599
282	25167	1511
283	25254	1422
284	25351	1334
285	25443	1245
286	25538	1156
287	25637	1068
288	25715	978
289	25792	889
290	25896	800
291	25980	711
292	26065	622
293	26146	533
294	26237	444
295	26334	355
296	26410	266
297	26486	177
298	26569	88
299	26651	0
